iso3c,year,life_expect,birth_rate,neonat_mortal_rate
BEL,1996,77.1873170731707,11.5,3.6
BEL,2005,78.9804878048781,11.4,2.6
BEL,1998,77.4731707317073,11.2,3.3
BEL,2013,80.5878048780488,11.2,2.2
BEL,2000,77.7219512195122,11.4,3
BEL,2009,79.9829268292683,11.8,2.4
BEL,1997,77.3707317073171,11.4,3.5
BEL,2011,80.5853658536585,11.6,2.3
BEL,2012,80.3853658536585,11.5,2.3
BEL,1999,77.619512195122,11.2,3.1
BFA,2002,51.3401951219512,45.776,40.8
BFA,1992,49.2779512195122,47.197,45.4
BFA,1993,49.2596585365854,47.109,45
BFA,1990,49.3656097560976,47.417,46.3
BFA,2003,52.0080731707317,45.487,39.6
BFA,2005,53.5813170731707,44.794,36.7
BFA,2000,50.3459268292683,46.256,42.4
BFA,2001,50.7832195121951,46.032,41.7
BFA,1991,49.3164634146342,47.296,45.8
BFA,2011,57.4920487804878,41.679,29.4
BFA,1998,49.7769268292683,46.603,43.5
BFA,2015,NA,NA,26.7
BFA,2014,58.5884634146341,40.025,27.2
BFA,1995,49.3383658536585,46.939,44.3
BFA,2007,55.1888048780488,43.905,33.9
BFA,1999,50.0207073170732,46.445,43
BFA,2004,52.7677804878049,45.162,38.3
BFA,2010,57.0513902439024,42.261,30.4
BFA,1994,49.2777073170732,47.026,44.6
BFA,2013,58.2406341463415,40.551,27.9
BFA,2006,54.4039024390244,44.375,35.2
BFA,1996,49.443512195122,46.843,44
BFA,2012,57.8793170731707,41.105,28.6
BFA,2009,56.5249756097561,42.836,31.6
BFA,2008,55.9022926829268,43.389,32.7
BFA,1997,49.5883414634146,46.733,43.8
BGR,2002,71.8658536585366,8.5,10.3
BGR,1991,71.5609756097561,11.1,11.9
BGR,2000,71.6634146341463,9,11.3
BGR,2005,72.5609756097561,9.2,8.6
BGR,2004,72.5634146341463,9,9.2
BGR,2013,74.8609756097561,9.2,6.2
BGR,2003,72.0658536585366,8.6,9.8
BGR,2001,71.7682926829268,8.5,10.8
BGR,2014,75.4073170731707,9.4,5.9
BGR,1994,71.2087804878049,9.4,12.2
BGR,1992,71.4943902439024,10.4,12.1
BGR,1990,71.6414634146342,12.1,11.6
BGR,1993,71.3468292682927,10,12.2
BGR,1999,71.4121951219512,8.8,11.8
BGR,2012,74.3146341463415,9.5,6.5
BGR,2008,72.9634146341463,10.4,7.4
BGR,1998,71.0609756097561,7.9,12.2
BGR,2006,72.6121951219512,9.6,8.1
BGR,2007,72.6634146341463,10,7.7
BGR,1997,70.3512195121951,7.7,12.3
BGR,1995,71.0534146341464,8.6,12.2
BGR,2011,74.1634146341463,9.6,6.8
BGR,2015,NA,NA,5.6
BGR,2010,73.5121951219512,10.2,7.1
BGR,2009,73.4121951219512,10.9,7.2
BGR,1996,70.8973170731707,8.6,12.3
BHR,1993,73.1239024390244,26.308,12.3
BHR,1994,73.337512195122,25.344,10.9
BHR,2004,75.2732195121951,19.025,2.8
BHR,2005,75.4221463414634,18.442,2.4
BHR,2003,75.1177073170732,19.595,3.2
BHR,1995,73.5550731707317,24.446,9.5
BHR,2008,75.847512195122,16.879,1.6
BHR,1990,72.507243902439,29.268,15.2
BHR,2002,74.9540731707317,20.138,3.7
BHR,2001,74.7818292682927,20.656,4.2
BHR,2000,74.5994878048781,21.165,4.7
BHR,2006,75.5664634146342,17.873,2.1
BHR,2007,75.707756097561,17.347,1.8
BHR,1992,72.9147317073171,27.305,13.5
BHR,2012,76.4076341463415,15.414,1.2
BHR,1997,73.9916097560976,22.915,7
BHR,2009,75.9877804878049,16.47,1.5
BHR,2011,76.2678536585366,15.764,1.3
BHR,1991,72.709512195122,28.305,14.5
BHR,2015,NA,NA,1.1
BHR,1998,74.2030975609756,22.269,6.1
BHR,2010,76.1275609756098,16.107,1.4
BHR,1996,73.7750975609756,23.638,8.2
BHR,1999,74.4060731707317,21.693,5.3
BHR,2014,76.6832682926829,14.636,1.1
BHR,2013,76.5459512195122,15.04,1.2
BDI,1993,47.8585853658537,47.287,42
BDI,2010,54.8291951219512,44.53,31.7
BDI,1992,47.7017317073171,48.224,42.1
BDI,2011,55.3120243902439,44.489,31
BDI,2012,55.7892926829268,44.358,30.4
BDI,1996,49.4626097560976,44.653,41.3
BDI,2007,53.4560731707317,44,34.2
BDI,1994,48.2392682926829,46.352,41.9
BDI,2008,53.8910243902439,44.276,33.3
BDI,2009,54.3512195121951,44.458,32.3
BDI,1991,47.7652195121951,49.121,42.1
BDI,2013,56.2516097560976,44.151,29.8
BDI,1995,48.8007804878049,45.463,41.7
BDI,1997,50.1198536585366,43.939,40.9
BDI,1998,50.6920487804878,43.339,40.5
BDI,2005,52.6969512195122,43.3,36
BDI,2000,51.4854878048781,42.571,39.4
BDI,2003,52.1453170731707,42.675,37.7
BDI,2002,51.9282682926829,42.496,38.3
BDI,2006,53.0538780487805,43.662,35.2
BDI,2004,52.3963902439024,42.956,36.9
BDI,2001,51.7248292682927,42.451,38.9
BDI,1999,51.149243902439,42.874,39.9
BDI,1990,48.0001219512195,49.925,42
BDI,2015,NA,NA,28.6
BDI,2014,56.6920243902439,43.867,29.3
BEN,1995,54.8159512195122,44.631,42.3
BEN,2015,NA,NA,31.8
BEN,2006,57.4833902439024,39.954,35
BEN,1996,54.8318048780488,44.242,41.9
BEN,1997,54.8423170731707,43.854,41.4
BEN,1993,54.5949756097561,45.381,43.6
BEN,1998,54.8901463414634,43.469,40.9
BEN,2007,57.8673902439024,39.422,34.5
BEN,2008,58.204512195122,38.889,34.1
BEN,2009,58.4912682926829,38.363,33.8
BEN,1994,54.7500731707317,45.014,42.9
BEN,1992,54.3270243902439,45.722,44.4
BEN,1999,54.9987804878049,43.089,40.3
BEN,2000,55.188243902439,42.707,39.6
